"Gene ID","source_id","Organism","Genomic Location (Gene)","Product Description","Transcript Length","Transcript Product Description","Is Pseudo"
"PY17X_0308400","PY17X_0308400.1","P. yoelii yoelii 17X","Py17X_03_v3:328,975..329,823(-)","conserved Plasmodium protein, unknown function","849","conserved Plasmodium protein, unknown function","No"
"PY17X_0308500","PY17X_0308500.1","P. yoelii yoelii 17X","Py17X_03_v3:337,553..340,864(+)","conserved Plasmodium protein, unknown function","3312","conserved Plasmodium protein, unknown function","No"
"PY17X_0308600","PY17X_0308600.1","P. yoelii yoelii 17X","Py17X_03_v3:341,258..341,944(-)","ras-related protein Rab-5A, putative","687","ras-related protein Rab-5A, putative","No"
"PY17X_0308700","PY17X_0308700.1","P. yoelii yoelii 17X","Py17X_03_v3:342,818..344,389(-)","ubiquinol-cytochrome-c reductase complex assembly factor 1, putative","882","ubiquinol-cytochrome-c reductase complex assembly factor 1, putative","No"
"PY17X_0308800","PY17X_0308800.1","P. yoelii yoelii 17X","Py17X_03_v3:345,012..347,053(-)","apicoplast beta-ketoacyl-acyl carrier protein synthase III precursor, putative","1116","apicoplast beta-ketoacyl-acyl carrier protein synthase III precursor, putative","No"
"PY17X_0308900","PY17X_0308900.1","P. yoelii yoelii 17X","Py17X_03_v3:348,748..352,530(+)","GAF domain-related protein, putative","3783","GAF domain-related protein, putative","No"
"PY17X_0309000","PY17X_0309000.1","P. yoelii yoelii 17X","Py17X_03_v3:354,113..354,727(+)","UDP-N-acetylglucosamine transferase subunit ALG14, putative","615","UDP-N-acetylglucosamine transferase subunit ALG14, putative","No"
"PY17X_0309100","PY17X_0309100.1","P. yoelii yoelii 17X","Py17X_03_v3:355,725..357,863(+)","tyrosine kinase-like protein, putative","2139","tyrosine kinase-like protein, putative","No"
"PY17X_0309200","PY17X_0309200.1","P. yoelii yoelii 17X","Py17X_03_v3:359,166..360,896(+)","asparagine--tRNA ligase, putative","1731","asparagine--tRNA ligase, putative","No"
"PY17X_0309300","PY17X_0309300.1","P. yoelii yoelii 17X","Py17X_03_v3:361,273..362,700(-)","pseudouridine synthase, putative","1170","pseudouridine synthase, putative","No"
"PY17X_0309400","PY17X_0309400.1","P. yoelii yoelii 17X","Py17X_03_v3:363,571..364,895(+)","GDP-fructose:GMP antiporter, putative","924","GDP-fructose:GMP antiporter, putative","No"
"PY17X_0309500","PY17X_0309500.1","P. yoelii yoelii 17X","Py17X_03_v3:366,635..369,890(+)","conserved Plasmodium protein, unknown function","2964","conserved Plasmodium protein, unknown function","No"
"PY17X_0309600","PY17X_0309600.1","P. yoelii yoelii 17X","Py17X_03_v3:370,830..371,709(-)","ribosomal protein L12, mitochondrial, putative","792","ribosomal protein L12, mitochondrial, putative","No"
"PY17X_0309700","PY17X_0309700.1","P. yoelii yoelii 17X","Py17X_03_v3:373,300..374,814(+)","peptide chain release factor subunit 1, putative","1287","peptide chain release factor subunit 1, putative","No"
"PY17X_0309800","PY17X_0309800.1","P. yoelii yoelii 17X","Py17X_03_v3:375,338..385,314(-)","conserved Plasmodium protein, unknown function","9684","conserved Plasmodium protein, unknown function","No"
"PY17X_0309900","PY17X_0309900.1","P. yoelii yoelii 17X","Py17X_03_v3:387,101..398,014(+)","conserved Plasmodium protein, unknown function","10914","conserved Plasmodium protein, unknown function","No"
"PY17X_0310000","PY17X_0310000.1","P. yoelii yoelii 17X","Py17X_03_v3:399,041..400,082(+)","secreted protein with altered thrombospondin repeat domain, putative","747","secreted protein with altered thrombospondin repeat domain, putative","No"
"PY17X_0310100","PY17X_0310100.1","P. yoelii yoelii 17X","Py17X_03_v3:400,461..401,510(-)","SRR1-like protein","1050","SRR1-like protein","No"
"PY17X_0310200","PY17X_0310200.1","P. yoelii yoelii 17X","Py17X_03_v3:402,258..404,270(+)","multidrug efflux pump, putative","2013","multidrug efflux pump, putative","No"
"PY17X_0310300","PY17X_0310300.1","P. yoelii yoelii 17X","Py17X_03_v3:405,081..406,463(+)","arginyl-tRNA--protein transferase, putative","1383","arginyl-tRNA--protein transferase, putative","No"
"PY17X_0310400","PY17X_0310400.1","P. yoelii yoelii 17X","Py17X_03_v3:407,501..408,001(+)","conserved protein, unknown function","501","conserved protein, unknown function","No"
"PY17X_0310500","PY17X_0310500.1","P. yoelii yoelii 17X","Py17X_03_v3:409,563..411,183(+)","protein SIS1, putative","1035","protein SIS1, putative","No"
"PY17X_0310600","PY17X_0310600.1","P. yoelii yoelii 17X","Py17X_03_v3:412,205..412,690(-)","conserved protein, unknown function","384","conserved protein, unknown function","No"
"PY17X_0310700","PY17X_0310700.1","P. yoelii yoelii 17X","Py17X_03_v3:412,792..413,609(-)","conserved protein, unknown function","237","conserved protein, unknown function","No"
"PY17X_0310800","PY17X_0310800.1","P. yoelii yoelii 17X","Py17X_03_v3:413,752..415,549(+)","protein kinase 7","1050","protein kinase 7","No"
"PY17X_0310900","PY17X_0310900.1","P. yoelii yoelii 17X","Py17X_03_v3:415,534..417,791(-)","tetratricopeptide repeat protein, putative","1398","tetratricopeptide repeat protein, putative","No"
"PY17X_0311000","PY17X_0311000.1","P. yoelii yoelii 17X","Py17X_03_v3:418,204..426,101(-)","conserved Plasmodium protein, unknown function","6288","conserved Plasmodium protein, unknown function","No"
"PY17X_0311100","PY17X_0311100.1","P. yoelii yoelii 17X","Py17X_03_v3:428,313..428,891(+)","conserved protein, unknown function","465","conserved protein, unknown function","No"
"PY17X_0311200","PY17X_0311200.1","P. yoelii yoelii 17X","Py17X_03_v3:430,128..432,197(+)","conserved protein, unknown function","2070","conserved protein, unknown function","No"
"PY17X_0311300","PY17X_0311300.1","P. yoelii yoelii 17X","Py17X_03_v3:432,617..435,286(-)","RTR1 domain-containing protein, putative","2670","RTR1 domain-containing protein, putative","No"
"PY17X_0311400","PY17X_0311400.1","P. yoelii yoelii 17X","Py17X_03_v3:436,830..438,580(+)","T-complex protein 1 subunit theta, putative","1632","T-complex protein 1 subunit theta, putative","No"
"PY17X_0311500","PY17X_0311500.1","P. yoelii yoelii 17X","Py17X_03_v3:438,953..443,522(-)","protein transport protein SEC31, putative","4182","protein transport protein SEC31, putative","No"
"PY17X_0311600","PY17X_0311600.1","P. yoelii yoelii 17X","Py17X_03_v3:445,549..446,334(-)","ribosomal protein L13, mitochondrial, putative","639","ribosomal protein L13, mitochondrial, putative","No"
"PY17X_0311700","PY17X_0311700.1","P. yoelii yoelii 17X","Py17X_03_v3:447,270..449,240(-)","conserved protein, unknown function","1734","conserved protein, unknown function","No"
"PY17X_0311800","PY17X_0311800.1","P. yoelii yoelii 17X","Py17X_03_v3:451,044..451,940(+)","conserved Plasmodium protein, unknown function","897","conserved Plasmodium protein, unknown function","No"
"PY17X_0311900","PY17X_0311900.1","P. yoelii yoelii 17X","Py17X_03_v3:454,426..459,450(+)","serine/threonine protein kinase, putative","5025","serine/threonine protein kinase, putative","No"
"PY17X_0312000","PY17X_0312000.1","P. yoelii yoelii 17X","Py17X_03_v3:460,515..462,564(-)","conserved Plasmodium protein, unknown function","900","conserved Plasmodium protein, unknown function","No"
"PY17X_0312100","PY17X_0312100.1","P. yoelii yoelii 17X","Py17X_03_v3:464,968..468,878(+)","conserved Plasmodium protein, unknown function","3732","conserved Plasmodium protein, unknown function","No"
"PY17X_0312200","PY17X_0312200.1","P. yoelii yoelii 17X","Py17X_03_v3:469,987..472,838(+)","rhoptry neck protein 6, putative","2151","rhoptry neck protein 6, putative","No"
"PY17X_0312300","PY17X_0312300.1","P. yoelii yoelii 17X","Py17X_03_v3:473,686..475,947(-)","acyl-CoA synthetase, putative","2262","acyl-CoA synthetase, putative","No"
"PY17X_0312400","PY17X_0312400.1","P. yoelii yoelii 17X","Py17X_03_v3:476,942..478,849(-)","RING zinc finger protein, putative","888","RING zinc finger protein, putative","No"
"PY17X_0312500","PY17X_0312500.1","P. yoelii yoelii 17X","Py17X_03_v3:480,821..481,558(+)","conserved Plasmodium protein, unknown function","738","conserved Plasmodium protein, unknown function","No"
"PY17X_0312600","PY17X_0312600.1","P. yoelii yoelii 17X","Py17X_03_v3:482,332..484,824(-)","conserved Plasmodium protein, unknown function","2493","conserved Plasmodium protein, unknown function","No"
"PY17X_0312700","PY17X_0312700.1","P. yoelii yoelii 17X","Py17X_03_v3:487,111..488,682(+)","conserved Plasmodium protein, unknown function","1572","conserved Plasmodium protein, unknown function","No"
"PY17X_0312800","PY17X_0312800.1","P. yoelii yoelii 17X","Py17X_03_v3:489,132..490,196(-)","conserved Plasmodium protein, unknown function","1065","conserved Plasmodium protein, unknown function","No"
"PY17X_0312900","PY17X_0312900.1","P. yoelii yoelii 17X","Py17X_03_v3:491,898..495,994(+)","DNA-directed RNA polymerase II subunit RPB2, putative","3939","DNA-directed RNA polymerase II subunit RPB2, putative","No"
"PY17X_0313000","PY17X_0313000.1","P. yoelii yoelii 17X","Py17X_03_v3:496,721..499,141(-)","origin recognition complex subunit 5, putative","2421","origin recognition complex subunit 5, putative","No"
"PY17X_0313100","PY17X_0313100.1","P. yoelii yoelii 17X","Py17X_03_v3:500,335..502,349(-)","palmitoyltransferase DHHC11, putative","801","palmitoyltransferase DHHC11, putative","No"
"PY17X_0313200","PY17X_0313200.1","P. yoelii yoelii 17X","Py17X_03_v3:504,013..508,602(+)","DEAD/DEAH box helicase, putative","4590","DEAD/DEAH box helicase, putative","No"
"PY17X_0313300","PY17X_0313300.1","P. yoelii yoelii 17X","Py17X_03_v3:508,947..512,454(-)","conserved Plasmodium protein, unknown function","3369","conserved Plasmodium protein, unknown function","No"
"PY17X_0313400","PY17X_0313400.1","P. yoelii yoelii 17X","Py17X_03_v3:512,981..513,961(-)","conserved Plasmodium protein, unknown function","675","conserved Plasmodium protein, unknown function","No"
"PY17X_0313500","PY17X_0313500.1","P. yoelii yoelii 17X","Py17X_03_v3:514,473..518,045(+)","conserved Plasmodium protein, unknown function","3573","conserved Plasmodium protein, unknown function","No"
"PY17X_0313600","PY17X_0313600.1","P. yoelii yoelii 17X","Py17X_03_v3:519,258..521,369(+)","vacuolar protein sorting-associated protein 45, putative","2112","vacuolar protein sorting-associated protein 45, putative","No"
"PY17X_0313700","PY17X_0313700.1","P. yoelii yoelii 17X","Py17X_03_v3:522,145..527,060(+)","conserved Plasmodium protein, unknown function","4722","conserved Plasmodium protein, unknown function","No"
"PY17X_0313800","PY17X_0313800.1","P. yoelii yoelii 17X","Py17X_03_v3:529,261..531,174(+)","MtN3-like protein","1914","MtN3-like protein","No"
"PY17X_0313900","PY17X_0313900.1","P. yoelii yoelii 17X","Py17X_03_v3:532,612..537,837(+)","autophagy-related protein 11, putative","4272","autophagy-related protein 11, putative","No"
"PY17X_0314000","PY17X_0314000.1","P. yoelii yoelii 17X","Py17X_03_v3:538,622..541,243(-)","TMEM121 domain-containing protein, putative","2622","TMEM121 domain-containing protein, putative","No"
"PY17X_0314100","PY17X_0314100.1","P. yoelii yoelii 17X","Py17X_03_v3:542,766..544,334(+)","conserved Plasmodium protein, unknown function","1569","conserved Plasmodium protein, unknown function","No"
"PY17X_0314200","PY17X_0314200.1","P. yoelii yoelii 17X","Py17X_03_v3:544,581..547,644(-)","conserved Plasmodium membrane protein, unknown function","2592","conserved Plasmodium membrane protein, unknown function","No"
"PY17X_0314300","PY17X_0314300.1","P. yoelii yoelii 17X","Py17X_03_v3:549,641..551,287(+)","ATP synthase subunit alpha, mitochondrial, putative","1647","ATP synthase subunit alpha, mitochondrial, putative","No"
"PY17X_0314400","PY17X_0314400.1","P. yoelii yoelii 17X","Py17X_03_v3:551,672..555,898(-)","conserved Plasmodium protein, unknown function","4227","conserved Plasmodium protein, unknown function","No"
"PY17X_0314500","PY17X_0314500.1","P. yoelii yoelii 17X","Py17X_03_v3:556,821..557,520(-)","AP-2 complex subunit sigma, putative","426","AP-2 complex subunit sigma, putative","No"
"PY17X_0314600","PY17X_0314600.1","P. yoelii yoelii 17X","Py17X_03_v3:558,986..559,555(+)","conserved protein, unknown function","456","conserved protein, unknown function","No"
"PY17X_0314700","PY17X_0314700.1","P. yoelii yoelii 17X","Py17X_03_v3:561,849..563,875(+)","calcium-dependent protein kinase 1, putative","1572","calcium-dependent protein kinase 1, putative","No"
"PY17X_0314800","PY17X_0314800.1","P. yoelii yoelii 17X","Py17X_03_v3:564,522..569,439(-)","conserved Plasmodium protein, unknown function","4080","conserved Plasmodium protein, unknown function","No"
"PY17X_0314900","PY17X_0314900.1","P. yoelii yoelii 17X","Py17X_03_v3:570,567..571,690(-)","E2F-associated phosphoprotein, putative","678","E2F-associated phosphoprotein, putative","No"
"PY17X_0315000","PY17X_0315000.1","P. yoelii yoelii 17X","Py17X_03_v3:573,896..574,219(+)","40S ribosomal protein S26, putative","324","40S ribosomal protein S26, putative","No"
"PY17X_0315100","PY17X_0315100.1","P. yoelii yoelii 17X","Py17X_03_v3:574,885..576,375(-)","conserved Plasmodium protein, unknown function","1491","conserved Plasmodium protein, unknown function","No"
"PY17X_0315200","PY17X_0315200.1","P. yoelii yoelii 17X","Py17X_03_v3:578,345..579,337(+)","replication factor C subunit 2, putative","993","replication factor C subunit 2, putative","No"
"PY17X_0315300","PY17X_0315300.1","P. yoelii yoelii 17X","Py17X_03_v3:580,589..582,000(+)","conserved protein, unknown function","1011","conserved protein, unknown function","No"
"PY17X_0315400","PY17X_0315400.1","P. yoelii yoelii 17X","Py17X_03_v3:582,379..584,871(-)","SUZ domain-containing protein, putative","2493","SUZ domain-containing protein, putative","No"
"PY17X_0315500","PY17X_0315500.1","P. yoelii yoelii 17X","Py17X_03_v3:586,784..588,344(-)","rRNA methyltransferase, putative","1086","rRNA methyltransferase, putative","No"
"PY17X_0315600","PY17X_0315600.1","P. yoelii yoelii 17X","Py17X_03_v3:588,935..590,488(-)","ATP-dependent RNA helicase DDX47, putative","1554","ATP-dependent RNA helicase DDX47, putative","No"
"PY17X_0315700","PY17X_0315700.1","P. yoelii yoelii 17X","Py17X_03_v3:591,404..591,867(+)","small nuclear ribonucleoprotein Sm D2, putative","306","small nuclear ribonucleoprotein Sm D2, putative","No"
"PY17X_0315800","PY17X_0315800.1","P. yoelii yoelii 17X","Py17X_03_v3:592,962..598,520(+)","patatin-like phospholipase, putative","5559","patatin-like phospholipase, putative","No"
"PY17X_0315900","PY17X_0315900.1","P. yoelii yoelii 17X","Py17X_03_v3:599,577..601,187(-)","pre-mRNA-processing protein 45, putative","1434","pre-mRNA-processing protein 45, putative","No"
"PY17X_0316000","PY17X_0316000.1","P. yoelii yoelii 17X","Py17X_03_v3:602,265..602,760(-)","ribonuclease P","496","ribonuclease P","No"
"PY17X_0316100","PY17X_0316100.1","P. yoelii yoelii 17X","Py17X_03_v3:603,308..603,422(-)","Plasmodium RNA of unknown function RUF2","115","Plasmodium RNA of unknown function RUF2","No"
"PY17X_0316200","PY17X_0316200.1","P. yoelii yoelii 17X","Py17X_03_v3:603,806..603,885(-)","small nucleolar RNA snoR01","80","small nucleolar RNA snoR01","No"
"PY17X_0316300","PY17X_0316300.1","P. yoelii yoelii 17X","Py17X_03_v3:606,599..607,119(+)","40S ribosomal protein S30, putative","177","40S ribosomal protein S30, putative","No"
"PY17X_0316400","PY17X_0316400.1","P. yoelii yoelii 17X","Py17X_03_v3:607,689..608,069(-)","conserved Plasmodium protein, unknown function","381","conserved Plasmodium protein, unknown function","No"
"PY17X_0316500","PY17X_0316500.1","P. yoelii yoelii 17X","Py17X_03_v3:609,425..609,758(+)","ribosome associated membrane protein RAMP4, putative","204","ribosome associated membrane protein RAMP4, putative","No"
"PY17X_0316600","PY17X_0316600.1","P. yoelii yoelii 17X","Py17X_03_v3:610,382..611,494(-)","pseudouridine synthase, putative","957","pseudouridine synthase, putative","No"
"PY17X_0316700","PY17X_0316700.1","P. yoelii yoelii 17X","Py17X_03_v3:612,556..615,222(-)","replication factor C subunit 1, putative","2667","replication factor C subunit 1, putative","No"
"PY17X_0316800","PY17X_0316800.1","P. yoelii yoelii 17X","Py17X_03_v3:618,364..619,324(+)","Plasmodium exported protein, unknown function","747","Plasmodium exported protein, unknown function","No"
"PY17X_0316900","PY17X_0316900.1","P. yoelii yoelii 17X","Py17X_03_v3:621,171..625,951(+)","Plasmodium exported protein, unknown function","4575","Plasmodium exported protein, unknown function","No"
"PY17X_0317000","PY17X_0317000.1","P. yoelii yoelii 17X","Py17X_03_v3:627,864..628,943(+)","fam-b protein","960","fam-b protein","No"
"PY17X_0317100","PY17X_0317100.1","P. yoelii yoelii 17X","Py17X_03_v3:630,361..631,506(+)","PIR protein, pseudogene","942","PIR protein, pseudogene","Yes"
"PY17X_0317200","PY17X_0317200.1","P. yoelii yoelii 17X","Py17X_03_v3:632,044..633,643(-)","fam-a protein","918","fam-a protein","No"
"PY17X_0317300","PY17X_0317300.1","P. yoelii yoelii 17X","Py17X_03_v3:635,070..643,524(-)","reticulocyte binding protein, putative","8325","reticulocyte binding protein, putative","No"
"PY17X_0317400","PY17X_0317400.1","P. yoelii yoelii 17X","Py17X_03_v3:647,738..648,478(+)","fam-b protein","573","fam-b protein","No"
"PY17X_0317500","PY17X_0317500.1","P. yoelii yoelii 17X","Py17X_03_v3:651,027..652,153(+)","erythrocyte membrane associated protein 2, putative","1005","erythrocyte membrane associated protein 2, putative","No"
"PY17X_0317600","PY17X_0317600.1","P. yoelii yoelii 17X","Py17X_03_v3:654,766..656,304(-)","fam-a protein","897","fam-a protein","No"
"PY17X_0317700","PY17X_0317700.1","P. yoelii yoelii 17X","Py17X_03_v3:657,387..657,831(+)","fam-b protein","282","fam-b protein","No"
"PY17X_0317800","PY17X_0317800.1","P. yoelii yoelii 17X","Py17X_03_v3:660,759..661,913(+)","PIR protein","930","PIR protein","No"
"PY17X_0317900","PY17X_0317900.1","P. yoelii yoelii 17X","Py17X_03_v3:663,805..664,297(+)","fam-b protein, pseudogene","330","fam-b protein, pseudogene","Yes"
"PY17X_0318000","PY17X_0318000.1","P. yoelii yoelii 17X","Py17X_03_v3:667,813..675,644(+)","PIR protein","7602","PIR protein","No"
"PY17X_0318100","PY17X_0318100.1","P. yoelii yoelii 17X","Py17X_03_v3:681,295..682,671(-)","lysophospholipase, putative","1377","lysophospholipase, putative","No"
"PY17X_0318200","PY17X_0318200.1","P. yoelii yoelii 17X","Py17X_03_v3:686,774..687,858(+)","PIR protein","858","PIR protein","No"
"PY17X_0318300","PY17X_0318300.1","P. yoelii yoelii 17X","Py17X_03_v3:690,176..691,342(+)","PIR protein","951","PIR protein","No"
"PY17X_0318400","PY17X_0318400.1","P. yoelii yoelii 17X","Py17X_03_v3:698,236..699,161(+)","fam-b protein","759","fam-b protein","No"
"PY17X_0318500","PY17X_0318500.1","P. yoelii yoelii 17X","Py17X_03_v3:701,986..703,079(+)","PIR protein","897","PIR protein","No"
"PY17X_0318600","PY17X_0318600.1","P. yoelii yoelii 17X","Py17X_03_v3:705,588..706,755(+)","PIR protein","960","PIR protein","No"
"PY17X_0318700","PY17X_0318700.1","P. yoelii yoelii 17X","Py17X_03_v3:709,146..710,280(+)","PIR protein","930","PIR protein","No"
"PY17X_0318800","PY17X_0318800.1","P. yoelii yoelii 17X","Py17X_03_v3:712,846..713,969(+)","PIR protein","900","PIR protein","No"
"PY17X_0318900","PY17X_0318900.1","P. yoelii yoelii 17X","Py17X_03_v3:716,671..717,744(+)","PIR protein","879","PIR protein","No"
"PY17X_0319000","PY17X_0319000.1","P. yoelii yoelii 17X","Py17X_03_v3:720,119..721,222(+)","PIR protein","882","PIR protein","No"
"PY17X_0319100","PY17X_0319100.1","P. yoelii yoelii 17X","Py17X_03_v3:723,541..724,736(+)","PIR protein","984","PIR protein","No"
"PY17X_0319200","PY17X_0319200.1","P. yoelii yoelii 17X","Py17X_03_v3:727,440..728,571(+)","PIR protein","906","PIR protein","No"
"PY17X_0319300","PY17X_0319300.1","P. yoelii yoelii 17X","Py17X_03_v3:730,926..732,101(+)","PIR protein","948","PIR protein","No"
"PY17X_0319400","PY17X_0319400.1","P. yoelii yoelii 17X","Py17X_03_v3:734,618..735,780(+)","PIR protein","942","PIR protein","No"
"PY17X_0319501","PY17X_0319501.1","P. yoelii yoelii 17X","Py17X_03_v3:738,142..739,304(+)","PIR protein","936","PIR protein","No"
"PY17X_0319601","PY17X_0319601.1","P. yoelii yoelii 17X","Py17X_03_v3:742,381..743,598(+)","PIR protein","993","PIR protein","No"
"PY17X_0319701","PY17X_0319701.1","P. yoelii yoelii 17X","Py17X_03_v3:746,404..747,520(+)","PIR protein","906","PIR protein","No"
"PY17X_0319801","PY17X_0319801.1","P. yoelii yoelii 17X","Py17X_03_v3:749,949..751,094(+)","PIR protein","924","PIR protein","No"
"PY17X_0319901","PY17X_0319901.1","P. yoelii yoelii 17X","Py17X_03_v3:753,318..754,383(+)","PIR protein","858","PIR protein","No"
"PY17X_0320001","PY17X_0320001.1","P. yoelii yoelii 17X","Py17X_03_v3:756,698..757,797(+)","PIR protein, pseudogene","882","PIR protein, pseudogene","Yes"
"PY17X_0320101","PY17X_0320101.1","P. yoelii yoelii 17X","Py17X_03_v3:760,177..761,336(+)","PIR protein","975","PIR protein","No"
"PY17X_0320201","PY17X_0320201.1","P. yoelii yoelii 17X","Py17X_03_v3:763,800..764,871(+)","PIR protein","849","PIR protein","No"
"PY17X_0320301","PY17X_0320301.1","P. yoelii yoelii 17X","Py17X_03_v3:767,107..768,289(+)","PIR protein","957","PIR protein","No"
"PY17X_0320401","PY17X_0320401.1","P. yoelii yoelii 17X","Py17X_03_v3:771,014..772,140(+)","PIR protein","897","PIR protein","No"
"PY17X_0320501","PY17X_0320501.1","P. yoelii yoelii 17X","Py17X_03_v3:774,465..775,592(+)","PIR protein","924","PIR protein","No"
"PY17X_0320601","PY17X_0320601.1","P. yoelii yoelii 17X","Py17X_03_v3:777,915..778,961(+)","PIR protein","822","PIR protein","No"
"PY17X_0320701","PY17X_0320701.1","P. yoelii yoelii 17X","Py17X_03_v3:781,629..782,717(+)","PIR protein","879","PIR protein","No"
"PY17X_0320801","PY17X_0320801.1","P. yoelii yoelii 17X","Py17X_03_v3:785,211..786,302(+)","PIR protein","900","PIR protein","No"
"PY17X_0320901","PY17X_0320901.1","P. yoelii yoelii 17X","Py17X_03_v3:788,575..789,690(+)","PIR protein","924","PIR protein","No"
"PY17X_0321001","PY17X_0321001.1","P. yoelii yoelii 17X","Py17X_03_v3:791,845..792,770(+)","fam-b protein","759","fam-b protein","No"
"PY17X_0321101","PY17X_0321101.1","P. yoelii yoelii 17X","Py17X_03_v3:795,638..796,850(+)","PIR protein","993","PIR protein","No"
"PY17X_0321201","PY17X_0321201.1","P. yoelii yoelii 17X","Py17X_03_v3:799,588..800,742(+)","PIR protein","918","PIR protein","No"
"PY17X_0321301","PY17X_0321301.1","P. yoelii yoelii 17X","Py17X_03_v3:803,101..804,290(+)","PIR protein","969","PIR protein","No"
"PY17X_0321401","PY17X_0321401.1","P. yoelii yoelii 17X","Py17X_03_v3:806,763..807,834(+)","PIR protein","858","PIR protein","No"
"PY17X_0321501","PY17X_0321501.1","P. yoelii yoelii 17X","Py17X_03_v3:809,959..811,027(+)","PIR protein","846","PIR protein","No"
"PY17X_0321601","PY17X_0321601.1","P. yoelii yoelii 17X","Py17X_03_v3:813,815..814,917(+)","PIR protein","906","PIR protein","No"
"PY17X_0321701","PY17X_0321701.1","P. yoelii yoelii 17X","Py17X_03_v3:817,264..818,384(+)","PIR protein","927","PIR protein","No"
"PY17X_0321801","PY17X_0321801.1","P. yoelii yoelii 17X","Py17X_03_v3:820,688..821,883(+)","PIR protein","969","PIR protein","No"
"PY17X_0321901","PY17X_0321901.1","P. yoelii yoelii 17X","Py17X_03_v3:824,313..825,492(+)","PIR protein","954","PIR protein","No"
"PY17X_0322001","PY17X_0322001.1","P. yoelii yoelii 17X","Py17X_03_v3:828,552..829,676(+)","PIR protein","900","PIR protein","No"
"PY17X_0322101","PY17X_0322101.1","P. yoelii yoelii 17X","Py17X_03_v3:832,195..833,206(+)","PIR protein","810","PIR protein","No"
"PY17X_0322201","PY17X_0322201.1","P. yoelii yoelii 17X","Py17X_03_v3:835,452..836,555(+)","PIR protein","867","PIR protein","No"
"PY17X_0322301","PY17X_0322301.1","P. yoelii yoelii 17X","Py17X_03_v3:839,348..840,494(+)","PIR protein","954","PIR protein","No"
"PY17X_0322401","PY17X_0322401.1","P. yoelii yoelii 17X","Py17X_03_v3:842,814..843,937(+)","PIR protein","924","PIR protein","No"
"PY17X_0322501","PY17X_0322501.1","P. yoelii yoelii 17X","Py17X_03_v3:845,022..846,321(-)","fam-a protein","861","fam-a protein","No"
"PY17X_0322601","PY17X_0322601.1","P. yoelii yoelii 17X","Py17X_03_v3:849,337..850,447(+)","PIR protein","888","PIR protein","No"
"PY17X_0322701","PY17X_0322701.1","P. yoelii yoelii 17X","Py17X_03_v3:853,715..855,634(+)","PIR protein","1725","PIR protein","No"
"PY17X_0322801","PY17X_0322801.1","P. yoelii yoelii 17X","Py17X_03_v3:860,699..861,618(+)","fam-b protein","756","fam-b protein","No"
"PY17X_0322901","PY17X_0322901.1","P. yoelii yoelii 17X","Py17X_03_v3:862,861..864,321(-)","fam-a protein","768","fam-a protein","No"
"PY17X_0323001","PY17X_0323001.1","P. yoelii yoelii 17X","Py17X_03_v3:865,653..867,007(-)","fam-a protein","813","fam-a protein","No"
"PY17X_0400003","PY17X_0400003.1","P. yoelii yoelii 17X","Py17X_04_v3:2,857..3,889(-)","PIR protein","858","PIR protein","No"
"PY17X_0400005","PY17X_0400005.1","P. yoelii yoelii 17X","Py17X_04_v3:6,192..7,383(-)","PIR protein","978","PIR protein","No"
"PY17X_0400007","PY17X_0400007.1","P. yoelii yoelii 17X","Py17X_04_v3:10,445..11,599(-)","PIR protein","939","PIR protein","No"
"PY17X_0400011","PY17X_0400011.1","P. yoelii yoelii 17X","Py17X_04_v3:13,988..15,102(-)","PIR protein","921","PIR protein","No"
"PY17X_0400015","PY17X_0400015.1","P. yoelii yoelii 17X","Py17X_04_v3:17,819..18,985(-)","PIR protein","954","PIR protein","No"
"PY17X_0400019","PY17X_0400019.1","P. yoelii yoelii 17X","Py17X_04_v3:21,479..22,531(-)","PIR protein","825","PIR protein","No"
"PY17X_0400023","PY17X_0400023.1","P. yoelii yoelii 17X","Py17X_04_v3:24,839..25,981(-)","PIR protein","921","PIR protein","No"
"PY17X_0400025","PY17X_0400025.1","P. yoelii yoelii 17X","Py17X_04_v3:28,752..29,827(-)","PIR protein","867","PIR protein","No"
"PY17X_0400027","PY17X_0400027.1","P. yoelii yoelii 17X","Py17X_04_v3:32,444..33,591(-)","PIR protein","924","PIR protein","No"
"PY17X_0400031","PY17X_0400031.1","P. yoelii yoelii 17X","Py17X_04_v3:35,937..37,073(-)","PIR protein","912","PIR protein","No"
"PY17X_0400035","PY17X_0400035.1","P. yoelii yoelii 17X","Py17X_04_v3:39,365..40,380(-)","PIR protein","810","PIR protein","No"
"PY17X_0400039","PY17X_0400039.1","P. yoelii yoelii 17X","Py17X_04_v3:42,698..43,817(-)","PIR protein","879","PIR protein","No"
"PY17X_0400043","PY17X_0400043.1","P. yoelii yoelii 17X","Py17X_04_v3:46,220..47,300(-)","PIR protein","885","PIR protein","No"
"PY17X_0400045","PY17X_0400045.1","P. yoelii yoelii 17X","Py17X_04_v3:50,062..51,221(-)","PIR protein","933","PIR protein","No"
"PY17X_0400047","PY17X_0400047.1","P. yoelii yoelii 17X","Py17X_04_v3:53,451..54,508(-)","PIR protein","846","PIR protein","No"
"PY17X_0400051","PY17X_0400051.1","P. yoelii yoelii 17X","Py17X_04_v3:57,285..58,216(-)","fam-b protein","759","fam-b protein","No"
"PY17X_0400055","PY17X_0400055.1","P. yoelii yoelii 17X","Py17X_04_v3:60,515..61,911(+)","fam-a protein","789","fam-a protein","No"
