# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_05	LR215061.1	152709	159478	-	VEV55157.1			conserved Plasmodium protein, unknown function			PVVCY_0500420	3741	1246	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_05	LR215061.1	161161	163761	+							PVVCY_0500430	2601		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_05	LR215061.1	161161	163761	+	VEV55158.1			conserved Plasmodium protein, unknown function			PVVCY_0500430	2601	866	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_05	LR215061.1	164263	165918	-							PVVCY_0500440	1656		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_05	LR215061.1	164263	165918	-	VEV55159.1			conserved Plasmodium protein, unknown function			PVVCY_0500440	1656	551	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_05	LR215061.1	166804	169425	-							PVVCY_0500450	2622		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_05	LR215061.1	166804	169425	-	VEV55160.1			tRNA methyltransferase, putative			PVVCY_0500450	2622	873	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_05	LR215061.1	171179	171553	-							PVVCY_0500460	375		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_05	LR215061.1	171179	171553	-	VEV55161.1			autophagy-related protein 8, putative			PVVCY_0500460	375	124	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_05	LR215061.1	173585	175645	-							PVVCY_0500470	2061		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_05	LR215061.1	173585	175645	-	VEV55162.1			RNA-binding protein 34, putative			PVVCY_0500470	1107	368	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_05	LR215061.1	176670	177328	-							PVVCY_0500480	659		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_05	LR215061.1	176670	177328	-	VEV55163.1			flagellar outer arm dynein-associated protein, putative			PVVCY_0500480	306	101	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_05	LR215061.1	178364	181098	-							PVVCY_0500490	2735		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_05	LR215061.1	178364	181098	-	VEV55164.1			conserved Plasmodium protein, unknown function			PVVCY_0500490	2553	850	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_05	LR215061.1	182548	184548	+							PVVCY_0500500	2001		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_05	LR215061.1	182548	184548	+	VEV55165.1			cytoplasmic dynein intermediate chain, putative			PVVCY_0500500	2001	666	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_05	LR215061.1	184833	186362	-							PVVCY_0500510	1530		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_05	LR215061.1	184833	186362	-	VEV55166.1			rRNA (cytosine-C(5))-methyltransferase, putative			PVVCY_0500510	1410	469	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_05	LR215061.1	186947	188140	+							PVVCY_0500520	1194		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_05	LR215061.1	186947	188140	+	VEV55167.1			ribosomal silencing factor RsfS, putative			PVVCY_0500520	1194	397	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_05	LR215061.1	188574	193382	+							PVVCY_0500530	4809		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_05	LR215061.1	188574	193382	+	VEV55168.1			conserved Plasmodium protein, unknown function			PVVCY_0500530	4617	1538	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_05	LR215061.1	194433	198149	+							PVVCY_0500540	3717		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_05	LR215061.1	194433	198149	+	VEV55169.1			histone acetyltransferase, putative			PVVCY_0500540	3465	1154	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_05	LR215061.1	198697	201511	+							PVVCY_0500550	2815		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_05	LR215061.1	198697	201511	+	VEV55170.1			dihydrolipoamide acyltransferase, putative			PVVCY_0500550	1881	626	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_05	LR215061.1	202624	203687	-							PVVCY_0500560	1064		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_05	LR215061.1	202624	203687	-	VEV55171.1			ADP-ribosylation factor, putative			PVVCY_0500560	546	181	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_05	LR215061.1	206214	207619	-							PVVCY_0500570	1406		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_05	LR215061.1	206214	207619	-	VEV55172.1			conserved Plasmodium protein, unknown function			PVVCY_0500570	1068	355	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_05	LR215061.1	208373	213223	-							PVVCY_0500580	4851		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_05	LR215061.1	208373	213223	-	VEV55173.1			conserved Plasmodium protein, unknown function			PVVCY_0500580	4851	1616	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_05	LR215061.1	214594	216342	-							PVVCY_0500590	1749		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_05	LR215061.1	214594	216342	-	VEV55174.1			conserved Plasmodium protein, unknown function			PVVCY_0500590	1749	582	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_05	LR215061.1	217642	219136	-							PVVCY_0500600	1495		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_05	LR215061.1	217642	219136	-	VEV55175.1			conserved Plasmodium protein, unknown function			PVVCY_0500600	1353	450	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_05	LR215061.1	220932	223286	+							PVVCY_0500610	2355		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_05	LR215061.1	220932	223286	+	VEV55176.1			endomembrane protein 70, putative			PVVCY_0500610	1596	531	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_05	LR215061.1	224079	225905	-							PVVCY_0500620	1827		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_05	LR215061.1	224079	225905	-	VEV55177.1			ATP-dependent RNA helicase ROK1, putative			PVVCY_0500620	1827	608	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_05	LR215061.1	226703	227491	+							PVVCY_0500630	789		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_05	LR215061.1	226703	227491	+	VEV55178.1			deoxyribose-phosphate aldolase, putative			PVVCY_0500630	789	262	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_05	LR215061.1	228095	245466	-							PVVCY_0500640	17372		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_05	LR215061.1	228095	245466	-	VEV55179.1			conserved Plasmodium protein, unknown function			PVVCY_0500640	16911	5636	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_05	LR215061.1	247300	253334	-							PVVCY_0500650	6035		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_05	LR215061.1	247300	253334	-	VEV55180.1			schizont egress antigen-1, putative			PVVCY_0500650	5370	1789	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_05	LR215061.1	255288	260126	-							PVVCY_0500660	4839		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_05	LR215061.1	255288	260126	-	VEV55181.1			PHAX domain-containing protein, putative			PVVCY_0500660	4839	1612	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_05	LR215061.1	266161	270201	+							PVVCY_0500670	4041		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_05	LR215061.1	266161	270201	+	VEV55182.1			RNA-binding protein, putative			PVVCY_0500670	3921	1306	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_05	LR215061.1	271180	272079	-							PVVCY_0500680	900		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_05	LR215061.1	271180	272079	-	VEV55183.1			conserved Plasmodium protein, unknown function			PVVCY_0500680	771	256	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_05	LR215061.1	272568	274820	-							PVVCY_0500690	2253		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_05	LR215061.1	272568	274820	-	VEV55184.1			conserved Plasmodium membrane protein, unknown function			PVVCY_0500690	1872	623	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_05	LR215061.1	278052	279530	+							PVVCY_0500700	1479		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_05	LR215061.1	278052	279530	+	VEV55185.1			ZIP domain-containing protein, putative			PVVCY_0500700	918	305	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_05	LR215061.1	284637	286571	-							PVVCY_0500710	1935		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_05	LR215061.1	284637	286571	-	VEV55186.1			serine/arginine-rich splicing factor 4, putative			PVVCY_0500710	1425	474	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_05	LR215061.1	288520	290223	-							PVVCY_0500720	1704		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_05	LR215061.1	288520	290223	-	VEV55187.1			citrate synthase, mitochondrial precursor, putative			PVVCY_0500720	1704	567	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_05	LR215061.1	291974	294634	+							PVVCY_0500730	2661		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_05	LR215061.1	291974	294634	+	VEV55188.1			kelch domain-containing protein, putative			PVVCY_0500730	2661	886	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_05	LR215061.1	295076	296101	-							PVVCY_0500740	1026		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_05	LR215061.1	295076	296101	-	VEV55189.1			phospholipid scramblase, putative			PVVCY_0500740	1026	341	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_05	LR215061.1	298529	301009	+							PVVCY_0500750	2481		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_05	LR215061.1	298529	301009	+	VEV55190.1			4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase, putative			PVVCY_0500750	2481	826	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_05	LR215061.1	301316	302211	-							PVVCY_0500760	896		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_05	LR215061.1	301316	302211	-	VEV55191.1			CDGSH iron-sulfur domain-containing protein, putative			PVVCY_0500760	357	118	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_05	LR215061.1	303365	304570	-							PVVCY_0500770	1206		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_05	LR215061.1	303365	304570	-	VEV55192.1			conserved Plasmodium protein, unknown function			PVVCY_0500770	1206	401	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_05	LR215061.1	305393	321271	-							PVVCY_0500780	15879		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_05	LR215061.1	305393	321271	-	VEV55193.1			dynein heavy chain, putative			PVVCY_0500780	15879	5292	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_05	LR215061.1	323340	324323	+							PVVCY_0500790	984		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_05	LR215061.1	323340	324323	+	VEV55194.1			orotidine 5'-phosphate decarboxylase, putative			PVVCY_0500790	984	327	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_05	LR215061.1	325419	326466	-							PVVCY_0500800	1048		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_05	LR215061.1	325419	326466	-	VEV55195.1			conserved Plasmodium protein, unknown function			PVVCY_0500800	240	79	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_05	LR215061.1	326494	328097	+							PVVCY_0500810	1604		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_05	LR215061.1	326494	328097	+	VEV55196.1			HORMA domain protein, putative			PVVCY_0500810	582	193	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_05	LR215061.1	328152	328439	-							PVVCY_0500820	288		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_05	LR215061.1	328152	328439	-	VEV55197.1			conserved Plasmodium protein, unknown function			PVVCY_0500820	288	95	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_05	LR215061.1	328543	331104	-							PVVCY_0500830	2562		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_05	LR215061.1	328543	331104	-	VEV55198.1			conserved Plasmodium protein, unknown function			PVVCY_0500830	1479	492	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_05	LR215061.1	332066	334162	+							PVVCY_0500840	2097		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_05	LR215061.1	332066	334162	+	VEV55199.1			conserved Plasmodium protein, unknown function			PVVCY_0500840	2097	698	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_05	LR215061.1	335655	337436	+							PVVCY_0500850	1782		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_05	LR215061.1	335655	337436	+	VEV55200.1			conserved Plasmodium protein, unknown function			PVVCY_0500850	1509	502	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_05	LR215061.1	337922	345592	-							PVVCY_0500860	7671		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_05	LR215061.1	337922	345592	-	VEV55201.1			chromodomain-helicase-DNA-binding protein 1, putative			PVVCY_0500860	7671	2556	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_05	LR215061.1	351316	352755	+							PVVCY_0500870	1440		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_05	LR215061.1	351316	352755	+	VEV55202.1			conserved Plasmodium protein, unknown function			PVVCY_0500870	1440	479	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_05	LR215061.1	353662	356746	-							PVVCY_0500880	3085		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_05	LR215061.1	353662	356746	-	VEV55203.1			conserved Plasmodium protein, unknown function			PVVCY_0500880	2955	984	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_05	LR215061.1	357846	358334	-							PVVCY_0500890	489		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_05	LR215061.1	357846	358334	-	VEV55204.1			RNA-binding protein, putative			PVVCY_0500890	489	162	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_05	LR215061.1	358955	359350	+							PVVCY_0500900	396		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_05	LR215061.1	358955	359350	+	VEV55205.1			conserved Plasmodium protein, unknown function			PVVCY_0500900	396	131	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_05	LR215061.1	359705	361200	-							PVVCY_0500910	1496		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_05	LR215061.1	359705	361200	-	VEV55206.1			conserved Plasmodium protein, unknown function			PVVCY_0500910	1380	459	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_05	LR215061.1	362308	362970	+							PVVCY_0500920	663		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_05	LR215061.1	362308	362970	+	VEV55207.1			conserved Plasmodium protein, unknown function			PVVCY_0500920	663	220	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_05	LR215061.1	363058	364886	-							PVVCY_0500930	1829		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_05	LR215061.1	363058	364886	-	VEV55208.1			RAP protein, putative			PVVCY_0500930	1290	429	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_05	LR215061.1	365428	366885	+							PVVCY_0500940	1458		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_05	LR215061.1	365428	366885	+	VEV55209.1			conserved Plasmodium protein, unknown function			PVVCY_0500940	1458	485	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_05	LR215061.1	368306	371806	+							PVVCY_0500950	3501		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_05	LR215061.1	368306	371806	+	VEV55210.1			conserved Plasmodium protein, unknown function			PVVCY_0500950	3501	1166	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_05	LR215061.1	372475	375774	-							PVVCY_0500960	3300		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_05	LR215061.1	372475	375774	-	VEV55211.1			conserved Plasmodium protein, unknown function			PVVCY_0500960	3300	1099	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_05	LR215061.1	376251	379577	-							PVVCY_0500970	3327		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_05	LR215061.1	376251	379577	-	VEV55212.1			formin 2, putative			PVVCY_0500970	2742	913	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_05	LR215061.1	382553	384829	+							PVVCY_0500980	2277		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_05	LR215061.1	382553	384829	+	VEV55213.1			glutamine--fructose-6-phosphate aminotransferase [isomerizing], putative			PVVCY_0500980	2277	758	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_05	LR215061.1	385166	386314	-							PVVCY_0500990	1149		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_05	LR215061.1	385166	386314	-	VEV55214.1			ATP synthase mitochondrial F1 complex assembly factor 2, putative			PVVCY_0500990	1149	382	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_05	LR215061.1	387096	389720	-							PVVCY_0501000	2625		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_05	LR215061.1	387096	389720	-	VEV55215.1			conserved Plasmodium protein, unknown function			PVVCY_0501000	2625	874	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_05	LR215061.1	390846	395656	-							PVVCY_0501010	4811		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_05	LR215061.1	390846	395656	-	VEV55216.1			conserved Plasmodium protein, unknown function			PVVCY_0501010	3522	1173	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_05	LR215061.1	396450	411362	-							PVVCY_0501020	14913		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_05	LR215061.1	396450	411362	-	VEV55217.1			conserved Plasmodium protein, unknown function			PVVCY_0501020	13968	4655	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_05	LR215061.1	412738	413158	+							PVVCY_0501030	421		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_05	LR215061.1	412738	413158	+	VEV55218.1			cytochrome c oxidase copper chaperone, putative			PVVCY_0501030	267	88	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_05	LR215061.1	413232	413813	+							PVVCY_0501040	582		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_05	LR215061.1	413232	413813	+	VEV55219.1			conserved Plasmodium protein, unknown function			PVVCY_0501040	582	193	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_05	LR215061.1	414128	414597	-							PVVCY_0501050	470		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_05	LR215061.1	414128	414597	-	VEV55220.1			conserved Plasmodium protein, unknown function			PVVCY_0501050	228	75	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_05	LR215061.1	415376	420475	-							PVVCY_0501060	5100		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_05	LR215061.1	415376	420475	-	VEV55221.1			conserved Plasmodium protein, unknown function			PVVCY_0501060	3375	1124	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_05	LR215061.1	421708	422921	-							PVVCY_0501070	1214		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_05	LR215061.1	421708	422921	-	VEV55222.1			conserved Plasmodium protein, unknown function			PVVCY_0501070	1014	337	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_05	LR215061.1	424141	425407	+							PVVCY_0501080	1267		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_05	LR215061.1	424141	425407	+	VEV55223.1			conserved Plasmodium protein, unknown function			PVVCY_0501080	792	263	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_05	LR215061.1	425630	427204	-							PVVCY_0501090	1575		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_05	LR215061.1	425630	427204	-	VEV55224.1			conserved Plasmodium protein, unknown function			PVVCY_0501090	1575	524	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_05	LR215061.1	427961	430630	+							PVVCY_0501100	2670		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_05	LR215061.1	427961	430630	+	VEV55225.1			conserved Plasmodium protein, unknown function			PVVCY_0501100	2670	889	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_05	LR215061.1	431324	432944	-							PVVCY_0501110	1621		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_05	LR215061.1	431324	432944	-	VEV55226.1			cell division cycle protein 20 homolog, putative			PVVCY_0501110	1527	508	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_05	LR215061.1	434111	434320	-							PVVCY_0501120	210		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_05	LR215061.1	434111	434320	-	VEV55227.1			conserved Plasmodium protein, unknown function			PVVCY_0501120	210	69	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_05	LR215061.1	435523	439422	-							PVVCY_0501130	3900		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_05	LR215061.1	435523	439422	-	VEV55228.1			conserved Plasmodium protein, unknown function			PVVCY_0501130	3900	1299	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_05	LR215061.1	442759	443922	+							PVVCY_0501140	1164		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_05	LR215061.1	442759	443922	+	VEV55229.1			40S ribosomal protein S2, putative			PVVCY_0501140	792	263	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_05	LR215061.1	445018	445878	+							PVVCY_0501150	861		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_05	LR215061.1	445018	445878	+	VEV55230.1			biotin--acetyl-CoA-carboxylase, putative			PVVCY_0501150	861	286	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_05	LR215061.1	446298	449612	-							PVVCY_0501160	3315		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_05	LR215061.1	446298	449612	-	VEV55231.1			conserved Plasmodium protein, unknown function			PVVCY_0501160	3315	1104	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_05	LR215061.1	451501	453477	-							PVVCY_0501170	1977		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_05	LR215061.1	451501	453477	-	VEV55232.1			U3 small nucleolar ribonucleoprotein protein MPP10, putative			PVVCY_0501170	1977	658	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_05	LR215061.1	455150	456751	+							PVVCY_0501180	1602		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_05	LR215061.1	455150	456751	+	VEV55233.1			mitochondrial ribosomal protein S22 precursor, putative			PVVCY_0501180	1602	533	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_05	LR215061.1	457482	459087	-							PVVCY_0501190	1606		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_05	LR215061.1	457482	459087	-	VEV55234.1			merozoite capping protein 1, putative peroxiredoxin, putative			PVVCY_0501190	1146	381	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_05	LR215061.1	461293	462057	-							PVVCY_0501200	765		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_05	LR215061.1	461293	462057	-	VEV55235.1			DNA-directed RNA polymerase II subunit RPB7, putative			PVVCY_0501200	534	177	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_05	LR215061.1	462754	463276	+							PVVCY_0501210	523		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_05	LR215061.1	462754	463276	+	VEV55236.1			conserved Plasmodium protein, unknown function			PVVCY_0501210	216	71	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_05	LR215061.1	463368	465349	-							PVVCY_0501220	1982		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_05	LR215061.1	463368	465349	-	VEV55237.1			topoisomerase, putative			PVVCY_0501220	1008	335	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_05	LR215061.1	465820	466838	-							PVVCY_0501230	1019		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_05	LR215061.1	465820	466838	-	VEV55238.1			centrin-3, putative			PVVCY_0501230	540	179	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_05	LR215061.1	468126	469286	-							PVVCY_0501240	1161		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_05	LR215061.1	468126	469286	-	VEV55239.1			60S ribosomal protein L3, putative			PVVCY_0501240	1161	386	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_05	LR215061.1	471272	473571	+							PVVCY_0501250	2300		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_05	LR215061.1	471272	473571	+	VEV55240.1			palmitoyltransferase DHHC10, putative			PVVCY_0501250	834	277	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_05	LR215061.1	474179	477450	+							PVVCY_0501260	3272		
