"Gene ID","source_id","# Exons in Gene","# Exons in Transcript","# Transcripts","Annotated 3' UTR length","Annotated 5' UTR length","Gene Strand","Gene Type","Is Pseudo","Transcript Length","Deprecated?","Gene Name or Symbol","Previous ID(s)","Product Description","Transcript Product Description","Chromosome","Genomic Location (Gene)","Genomic Location (Transcript)","Genomic Sequence ID","Ortholog count","Paralog count","Protein Length","CDS Length","Molecular Weight","Isoelectric Point","Interpro ID","Interpro Description","PFam ID","PFam Description","PirSF ID","PirSF Description","Prositefamilies ID","Prositefamilies Description","Smart ID","Smart Description","Superfamily ID","Superfamily Description","TigrFam ID","TigrFam Description","GeneDB Updated Product Name"
"PVP01_0002130","PVP01_0002130.1","3","3","1","N/A","N/A","reverse","protein coding gene","No","1356","No","N/A","N/A","PIR protein","PIR protein","Not Assigned","Transfer.PvP01_00_4.final:44,290..45,894(-)","Transfer.PvP01_00_4.final:44290..45894(-)","Transfer.PvP01_00_4.final","0","1","451","1356","52324","6.55","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"PVP01_0002140","PVP01_0002140.1","2","2","1","N/A","N/A","reverse","protein coding gene","No","1503","No","N/A","N/A","PIR protein","PIR protein","Not Assigned","Transfer.PvP01_00_4.final:48,973..50,567(-)","Transfer.PvP01_00_4.final:48973..50567(-)","Transfer.PvP01_00_4.final","1","0","500","1503","56366","6.46","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"PVP01_0002150","PVP01_0002150.1","2","2","1","2","N/A","forward","protein coding gene","No","170","No","N/A","N/A","PIR protein","PIR protein","Not Assigned","Transfer.PvP01_00_4.final:53,703..53,998(+)","Transfer.PvP01_00_4.final:53703..53996(+)","Transfer.PvP01_00_4.final","0","0","56","168","6499","4.35","IPR008780","Plasmodium vivax Vir","PF05795","Plasmodium vivax Vir","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"PVP01_0002180","PVP01_0002180.1","3","3","1","N/A","N/A","forward","protein coding gene","No","1215","No","N/A","N/A","PIR protein","PIR protein","Not Assigned","Transfer.PvP01_00_4.final:65,081..66,566(+)","Transfer.PvP01_00_4.final:65081..66566(+)","Transfer.PvP01_00_4.final","4","0","404","1215","48224","5.87","IPR008780","Plasmodium vivax Vir","PF05795","Plasmodium vivax Vir","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"PVP01_0002190","PVP01_0002190.1","4","4","1","N/A","N/A","reverse","pseudogene","Yes","984","No","N/A","N/A","PIR protein, pseudogene","PIR protein, pseudogene","Not Assigned","Transfer.PvP01_00_4.final:70,024..71,269(-)","Transfer.PvP01_00_4.final:70024..71269(-)","Transfer.PvP01_00_4.final","0","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"PVP01_0002200","PVP01_0002200.1","2","2","1","N/A","N/A","reverse","protein coding gene","No","1641","No","N/A","N/A","PIR protein","PIR protein","Not Assigned","Transfer.PvP01_00_4.final:73,665..75,408(-)","Transfer.PvP01_00_4.final:73665..75408(-)","Transfer.PvP01_00_4.final","0","0","546","1641","61130","5.88","IPR008780","Plasmodium vivax Vir","PF05795","Plasmodium vivax Vir","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"PVP01_0002210","PVP01_0002210.1","5","5","1","N/A","N/A","forward","protein coding gene","No","2082","No","N/A","N/A","PIR protein","PIR protein","Not Assigned","Transfer.PvP01_00_4.final:76,348..79,185(+)","Transfer.PvP01_00_4.final:76348..79185(+)","Transfer.PvP01_00_4.final","9","3","693","2082","81538","6.11","IPR008780","Plasmodium vivax Vir","PF05795","Plasmodium vivax Vir","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"PVP01_0002240","PVP01_0002240.1","3","3","1","N/A","N/A","forward","protein coding gene","No","1341","No","N/A","N/A","PIR protein","PIR protein","Not Assigned","Transfer.PvP01_00_4.final:90,126..91,723(+)","Transfer.PvP01_00_4.final:90126..91723(+)","Transfer.PvP01_00_4.final","0","0","446","1341","50316","9.3","IPR008780","Plasmodium vivax Vir","PF05795","Plasmodium vivax Vir","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"PVP01_0002290","PVP01_0002290.1","3","3","1","N/A","N/A","reverse","protein coding gene","No","951","No","N/A","N/A","PIR protein","PIR protein","Not Assigned","Transfer.PvP01_00_4.final:111,440..112,652(-)","Transfer.PvP01_00_4.final:111440..112652(-)","Transfer.PvP01_00_4.final","3","21","316","951","36980","6.17","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"PVP01_0002300","PVP01_0002300.1","2","2","1","N/A","N/A","reverse","protein coding gene","No","438","No","N/A","N/A","PIR protein","PIR protein","Not Assigned","Transfer.PvP01_00_4.final:115,698..116,229(-)","Transfer.PvP01_00_4.final:115698..116229(-)","Transfer.PvP01_00_4.final","0","9","145","438","16540","4.8","IPR008780","Plasmodium vivax Vir","PF05795","Plasmodium vivax Vir","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"PVP01_0002310","PVP01_0002310.1","3","3","1","N/A","N/A","reverse","protein coding gene","No","1401","No","N/A","N/A","PIR protein","PIR protein","Not Assigned","Transfer.PvP01_00_4.final:120,364..122,018(-)","Transfer.PvP01_00_4.final:120364..122018(-)","Transfer.PvP01_00_4.final","3","0","466","1401","53146","5.82","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"PVP01_0002320","PVP01_0002320.1","3","3","1","N/A","N/A","reverse","protein coding gene","No","1860","No","N/A","N/A","PIR protein","PIR protein","Not Assigned","Transfer.PvP01_00_4.final:125,202..127,241(-)","Transfer.PvP01_00_4.final:125202..127241(-)","Transfer.PvP01_00_4.final","2","1","619","1860","68961","7.79","IPR008780","Plasmodium vivax Vir","PF05795","Plasmodium vivax Vir","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"PVP01_0002330","PVP01_0002330.1","3","3","1","N/A","N/A","forward","protein coding gene","No","1434","No","N/A","N/A","PIR protein","PIR protein","Not Assigned","Transfer.PvP01_00_4.final:129,016..130,705(+)","Transfer.PvP01_00_4.final:129016..130705(+)","Transfer.PvP01_00_4.final","3","0","477","1434","53466","8.9","IPR008780","Plasmodium vivax Vir","PF05795","Plasmodium vivax Vir","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"PVP01_0002360","PVP01_0002360.1","3","3","1","N/A","N/A","reverse","protein coding gene","No","945","No","N/A","N/A","PIR protein","PIR protein","Not Assigned","Transfer.PvP01_00_4.final:142,143..143,355(-)","Transfer.PvP01_00_4.final:142143..143355(-)","Transfer.PvP01_00_4.final","1","0","314","945","36189","4.89","IPR008780","Plasmodium vivax Vir","PF05795","Plasmodium vivax Vir","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"PVP01_0002370","PVP01_0002370.1","3","3","1","N/A","N/A","reverse","protein coding gene","No","1092","No","N/A","N/A","PIR protein","PIR protein","Not Assigned","Transfer.PvP01_00_4.final:148,265..149,603(-)","Transfer.PvP01_00_4.final:148265..149603(-)","Transfer.PvP01_00_4.final","1","0","363","1092","42347","6.68","IPR008780","Plasmodium vivax Vir","PF05795","Plasmodium vivax Vir","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"PVP01_0002380","PVP01_0002380.1","3","3","1","N/A","N/A","reverse","protein coding gene","No","1407","No","N/A","N/A","PIR protein","PIR protein","Not Assigned","Transfer.PvP01_00_4.final:153,408..155,039(-)","Transfer.PvP01_00_4.final:153408..155039(-)","Transfer.PvP01_00_4.final","1","2","468","1407","54409","4.99","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"PVP01_0002390","PVP01_0002390.1","2","2","1","N/A","N/A","reverse","protein coding gene","No","1449","No","N/A","N/A","PIR protein","PIR protein","Not Assigned","Transfer.PvP01_00_4.final:158,078..159,617(-)","Transfer.PvP01_00_4.final:158078..159617(-)","Transfer.PvP01_00_4.final","1","1","482","1449","52813","6.81","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"PVP01_0002400","PVP01_0002400.1","4","4","1","N/A","N/A","forward","protein coding gene","No","1437","No","N/A","N/A","PIR protein","PIR protein","Not Assigned","Transfer.PvP01_00_4.final:162,597..164,315(+)","Transfer.PvP01_00_4.final:162597..164315(+)","Transfer.PvP01_00_4.final","0","1","478","1437","53973","9.38","IPR008780","Plasmodium vivax Vir","PF05795","Plasmodium vivax Vir","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"PVP01_0002410","PVP01_0002410.1","2","2","1","N/A","N/A","forward","protein coding gene","No","882","No","N/A","N/A","PIR protein","PIR protein","Not Assigned","Transfer.PvP01_00_5.final:3,325..4,318(+)","Transfer.PvP01_00_5.final:3325..4318(+)","Transfer.PvP01_00_5.final","0","0","293","882","34076","5.92","IPR008780","Plasmodium vivax Vir","PF05795","Plasmodium vivax Vir","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"PVP01_0002420","PVP01_0002420.1","3","3","1","N/A","N/A","forward","protein coding gene","No","1011","No","N/A","N/A","PIR protein","PIR protein","Not Assigned","Transfer.PvP01_00_5.final:7,764..9,029(+)","Transfer.PvP01_00_5.final:7764..9029(+)","Transfer.PvP01_00_5.final","1","1","336","1011","39282","6.24","IPR008780","Plasmodium vivax Vir","PF05795","Plasmodium vivax Vir","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"PVP01_0002430","PVP01_0002430.1","3","3","1","N/A","N/A","forward","protein coding gene","No","906","No","N/A","N/A","PIR protein","PIR protein","Not Assigned","Transfer.PvP01_00_5.final:11,966..13,126(+)","Transfer.PvP01_00_5.final:11966..13126(+)","Transfer.PvP01_00_5.final","19","11","301","906","35617","7.54","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"PVP01_0002440","PVP01_0002440.1","3","3","1","N/A","N/A","forward","protein coding gene","No","810","No","N/A","N/A","PIR protein","PIR protein","Not Assigned","Transfer.PvP01_00_5.final:15,007..16,076(+)","Transfer.PvP01_00_5.final:15007..16076(+)","Transfer.PvP01_00_5.final","0","0","269","810","30725","6.73","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"PVP01_0002480","PVP01_0002480.1","3","3","1","N/A","N/A","forward","protein coding gene","No","1170","No","N/A","N/A","PIR protein","PIR protein","Not Assigned","Transfer.PvP01_00_5.final:32,320..33,736(+)","Transfer.PvP01_00_5.final:32320..33736(+)","Transfer.PvP01_00_5.final","39","7","389","1170","45485","4.83","IPR008780","Plasmodium vivax Vir","PF05795","Plasmodium vivax Vir","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"PVP01_0002490","PVP01_0002490.1","3","3","1","N/A","N/A","forward","protein coding gene","No","1035","No","N/A","N/A","PIR protein","PIR protein","Not Assigned","Transfer.PvP01_00_5.final:36,795..38,084(+)","Transfer.PvP01_00_5.final:36795..38084(+)","Transfer.PvP01_00_5.final","1","3","344","1035","39670","6.17","IPR008780","Plasmodium vivax Vir","PF05795","Plasmodium vivax Vir","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"PVP01_0002500","PVP01_0002500.1","4","4","1","N/A","N/A","forward","protein coding gene","No","1410","No","N/A","N/A","PIR protein","PIR protein","Not Assigned","Transfer.PvP01_00_5.final:41,106..42,913(+)","Transfer.PvP01_00_5.final:41106..42913(+)","Transfer.PvP01_00_5.final","2","13","469","1410","56387","8.85","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"PVP01_0002510","PVP01_0002510.1","3","3","1","N/A","N/A","forward","protein coding gene","No","1338","No","N/A","N/A","PIR protein","PIR protein","Not Assigned","Transfer.PvP01_00_5.final:45,573..47,162(+)","Transfer.PvP01_00_5.final:45573..47162(+)","Transfer.PvP01_00_5.final","4","1","445","1338","51452","6.2","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"PVP01_0002530","PVP01_0002530.1","5","5","1","N/A","N/A","forward","protein coding gene","No","2664","No","N/A","N/A","PIR protein","PIR protein","Not Assigned","Transfer.PvP01_00_5.final:59,458..62,568(+)","Transfer.PvP01_00_5.final:59458..62568(+)","Transfer.PvP01_00_5.final","22","4","887","2664","103197","8.46","IPR008780","Plasmodium vivax Vir","PF05795","Plasmodium vivax Vir","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"PVP01_0002540","PVP01_0002540.1","5","5","1","N/A","N/A","forward","protein coding gene","No","1479","No","N/A","N/A","PIR protein","PIR protein","Not Assigned","Transfer.PvP01_00_5.final:71,302..73,166(+)","Transfer.PvP01_00_5.final:71302..73166(+)","Transfer.PvP01_00_5.final","3","21","492","1479","57991","4.72","IPR008780","Plasmodium vivax Vir","PF05795","Plasmodium vivax Vir","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"PVP01_0002710","PVP01_0002710.1","4","4","1","N/A","N/A","reverse","protein coding gene","No","2361","No","N/A","N/A","PIR protein","PIR protein","Not Assigned","Transfer.PvP01_00_5.final:141,807..144,700(-)","Transfer.PvP01_00_5.final:141807..144700(-)","Transfer.PvP01_00_5.final","2","0","786","2361","88206","9.65","IPR008780","Plasmodium vivax Vir","PF05795","Plasmodium vivax Vir","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"PVP01_0002720","PVP01_0002720.1","1","1","1","N/A","N/A","forward","protein coding gene","No","1380","No","N/A","N/A","PIR protein","PIR protein","Not Assigned","Transfer.PvP01_00_5.final:147,506..148,885(+)","Transfer.PvP01_00_5.final:147506..148885(+)","Transfer.PvP01_00_5.final","1","0","460","1380","50113","5.54","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"PVP01_0002730","PVP01_0002730.1","5","5","1","N/A","N/A","reverse","pseudogene","Yes","1398","No","N/A","N/A","PIR protein, pseudogene","PIR protein, pseudogene","Not Assigned","Transfer.PvP01_00_6.final:5,940..7,730(-)","Transfer.PvP01_00_6.final:5940..7730(-)","Transfer.PvP01_00_6.final","0","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"PVP01_0002740","PVP01_0002740.1","3","3","1","N/A","N/A","reverse","protein coding gene","No","1131","No","N/A","N/A","PIR protein","PIR protein","Not Assigned","Transfer.PvP01_00_6.final:10,152..11,533(-)","Transfer.PvP01_00_6.final:10152..11533(-)","Transfer.PvP01_00_6.final","9","5","376","1131","43253","6.95","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"PVP01_0002750","PVP01_0002750.1","3","3","1","N/A","N/A","forward","protein coding gene","No","702","No","N/A","N/A","PIR protein","PIR protein","Not Assigned","Transfer.PvP01_00_6.final:13,413..14,474(+)","Transfer.PvP01_00_6.final:13413..14474(+)","Transfer.PvP01_00_6.final","0","0","233","702","25639","8.06","IPR008780","Plasmodium vivax Vir","PF05795","Plasmodium vivax Vir","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"PVP01_0002760","PVP01_0002760.1","3","3","1","N/A","N/A","forward","protein coding gene","No","1005","No","N/A","N/A","PIR protein","PIR protein","Not Assigned","Transfer.PvP01_00_6.final:18,196..19,668(+)","Transfer.PvP01_00_6.final:18196..19668(+)","Transfer.PvP01_00_6.final","91","6","334","1005","39222","5.37","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"PVP01_0002790","PVP01_0002790.1","3","3","1","N/A","N/A","reverse","protein coding gene","No","1161","No","N/A","N/A","PIR protein","PIR protein","Not Assigned","Transfer.PvP01_00_6.final:28,329..29,754(-)","Transfer.PvP01_00_6.final:28329..29754(-)","Transfer.PvP01_00_6.final","27","6","386","1161","44463","7.58","IPR008780","Plasmodium vivax Vir","PF05795","Plasmodium vivax Vir","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"PVP01_0002800","PVP01_0002800.1","2","2","1","N/A","N/A","reverse","protein coding gene","No","225","No","N/A","N/A","PIR protein, fragment","PIR protein, fragment","Not Assigned","Transfer.PvP01_00_6.final:31,974..32,459(-)","Transfer.PvP01_00_6.final:31974..32459(-)","Transfer.PvP01_00_6.final","0","0","74","225","8430","5.66","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"PVP01_0002810","PVP01_0002810.1","3","3","1","N/A","N/A","reverse","protein coding gene","No","1089","No","N/A","N/A","PIR protein","PIR protein","Not Assigned","Transfer.PvP01_00_6.final:34,586..35,933(-)","Transfer.PvP01_00_6.final:34586..35933(-)","Transfer.PvP01_00_6.final","1","0","362","1089","41746","6.98","IPR008780","Plasmodium vivax Vir","PF05795","Plasmodium vivax Vir","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"PVP01_0002820","PVP01_0002820.1","3","3","1","N/A","N/A","reverse","protein coding gene","No","1389","No","N/A","N/A","PIR protein","PIR protein","Not Assigned","Transfer.PvP01_00_6.final:41,070..42,755(-)","Transfer.PvP01_00_6.final:41070..42755(-)","Transfer.PvP01_00_6.final","1","12","462","1389","54540","6.21","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"PVP01_0002830","PVP01_0002830.1","3","3","1","N/A","N/A","reverse","protein coding gene","No","1050","No","N/A","N/A","PIR protein","PIR protein","Not Assigned","Transfer.PvP01_00_6.final:44,500..45,822(-)","Transfer.PvP01_00_6.final:44500..45822(-)","Transfer.PvP01_00_6.final","7","6","349","1050","41218","7.73","IPR008780","Plasmodium vivax Vir","PF05795","Plasmodium vivax Vir","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"PVP01_0002840","PVP01_0002840.1","2","2","1","N/A","N/A","reverse","protein coding gene","No","849","No","N/A","N/A","PIR protein","PIR protein","Not Assigned","Transfer.PvP01_00_6.final:49,989..50,957(-)","Transfer.PvP01_00_6.final:49989..50957(-)","Transfer.PvP01_00_6.final","2","0","282","849","32807","6.63","IPR008780","Plasmodium vivax Vir","PF05795","Plasmodium vivax Vir","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"PVP01_0002850","PVP01_0002850.1","4","4","1","N/A","N/A","reverse","protein coding gene","No","975","No","N/A","N/A","PIR protein","PIR protein","Not Assigned","Transfer.PvP01_00_6.final:51,650..53,091(-)","Transfer.PvP01_00_6.final:51650..53091(-)","Transfer.PvP01_00_6.final","0","0","324","975","38137","7.04","IPR008780","Plasmodium vivax Vir","PF05795","Plasmodium vivax Vir","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"PVP01_0002860","PVP01_0002860.1","3","3","1","N/A","N/A","reverse","protein coding gene","No","855","No","N/A","N/A","PIR protein","PIR protein","Not Assigned","Transfer.PvP01_00_6.final:55,899..56,992(-)","Transfer.PvP01_00_6.final:55899..56992(-)","Transfer.PvP01_00_6.final","0","2","284","855","33738","8.99","IPR008780","Plasmodium vivax Vir","PF05795","Plasmodium vivax Vir","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"PVP01_0002880","PVP01_0002880.1","3","3","1","N/A","N/A","reverse","protein coding gene","No","996","No","N/A","N/A","PIR protein","PIR protein","Not Assigned","Transfer.PvP01_00_6.final:67,312..68,561(-)","Transfer.PvP01_00_6.final:67312..68561(-)","Transfer.PvP01_00_6.final","19","11","331","996","38534","5","IPR008780","Plasmodium vivax Vir","PF05795","Plasmodium vivax Vir","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"PVP01_0002890","PVP01_0002890.1","3","3","1","N/A","N/A","reverse","protein coding gene","No","912","No","N/A","N/A","PIR protein","PIR protein","Not Assigned","Transfer.PvP01_00_6.final:72,389..73,568(-)","Transfer.PvP01_00_6.final:72389..73568(-)","Transfer.PvP01_00_6.final","0","0","303","912","35487","8.54","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"PVP01_0002900","PVP01_0002900.1","3","3","1","N/A","N/A","reverse","protein coding gene","No","1707","No","N/A","N/A","PIR protein","PIR protein","Not Assigned","Transfer.PvP01_00_6.final:75,184..77,129(-)","Transfer.PvP01_00_6.final:75184..77129(-)","Transfer.PvP01_00_6.final","43","4","568","1707","65959","8.55","IPR008780","Plasmodium vivax Vir","PF05795","Plasmodium vivax Vir","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"PVP01_0002910","PVP01_0002910.1","3","3","1","N/A","N/A","reverse","protein coding gene","No","1005","No","N/A","N/A","PIR protein","PIR protein","Not Assigned","Transfer.PvP01_00_6.final:80,399..81,696(-)","Transfer.PvP01_00_6.final:80399..81696(-)","Transfer.PvP01_00_6.final","5","1","334","1005","38948","7.05","IPR008780","Plasmodium vivax Vir","PF05795","Plasmodium vivax Vir","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"PVP01_0002920","PVP01_0002920.1","3","3","1","N/A","N/A","reverse","protein coding gene","No","1035","No","N/A","N/A","PIR protein","PIR protein","Not Assigned","Transfer.PvP01_00_6.final:86,074..87,365(-)","Transfer.PvP01_00_6.final:86074..87365(-)","Transfer.PvP01_00_6.final","103","17","344","1035","39554","6.82","IPR008780","Plasmodium vivax Vir","PF05795","Plasmodium vivax Vir","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"PVP01_0002930","PVP01_0002930.1","3","3","1","N/A","N/A","reverse","protein coding gene","No","1374","No","N/A","N/A","PIR protein","PIR protein","Not Assigned","Transfer.PvP01_00_6.final:89,502..91,127(-)","Transfer.PvP01_00_6.final:89502..91127(-)","Transfer.PvP01_00_6.final","18","0","457","1374","52289","6.86","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"PVP01_0002940","PVP01_0002940.1","3","3","1","N/A","N/A","reverse","protein coding gene","No","1128","No","N/A","N/A","PIR protein","PIR protein","Not Assigned","Transfer.PvP01_00_6.final:93,719..95,094(-)","Transfer.PvP01_00_6.final:93719..95094(-)","Transfer.PvP01_00_6.final","1","2","375","1128","43318","8.98","IPR008780","Plasmodium vivax Vir","PF05795","Plasmodium vivax Vir","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"PVP01_0002950","PVP01_0002950.1","3","3","1","N/A","N/A","forward","protein coding gene","No","774","No","N/A","N/A","PIR protein","PIR protein","Not Assigned","Transfer.PvP01_00_6.final:97,878..98,849(+)","Transfer.PvP01_00_6.final:97878..98849(+)","Transfer.PvP01_00_6.final","0","0","257","774","27890","6.96","IPR008780","Plasmodium vivax Vir","PF05795","Plasmodium vivax Vir","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"PVP01_0003000","PVP01_0003000.1","3","3","1","N/A","N/A","reverse","protein coding gene","No","948","No","N/A","N/A","PIR protein","PIR protein","Not Assigned","Transfer.PvP01_00_6.final:120,788..121,996(-)","Transfer.PvP01_00_6.final:120788..121996(-)","Transfer.PvP01_00_6.final","3","21","315","948","36476","4.84","IPR008780","Plasmodium vivax Vir","PF05795","Plasmodium vivax Vir","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"PVP01_0003010","PVP01_0003010.1","4","4","1","N/A","N/A","reverse","protein coding gene","No","1026","No","N/A","N/A","PIR protein","PIR protein","Not Assigned","Transfer.PvP01_00_6.final:125,015..126,327(-)","Transfer.PvP01_00_6.final:125015..126327(-)","Transfer.PvP01_00_6.final","0","9","341","1026","40116","6.29","IPR008780","Plasmodium vivax Vir","PF05795","Plasmodium vivax Vir","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"PVP01_0003020","PVP01_0003020.1","4","4","1","N/A","N/A","reverse","protein coding gene","No","1596","No","N/A","N/A","PIR protein","PIR protein","Not Assigned","Transfer.PvP01_00_6.final:135,829..137,821(-)","Transfer.PvP01_00_6.final:135829..137821(-)","Transfer.PvP01_00_6.final","10","2","531","1596","60229","5.42","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"PVP01_0003030","PVP01_0003030.1","3","3","1","N/A","N/A","reverse","protein coding gene","No","948","No","N/A","N/A","PIR protein","PIR protein","Not Assigned","Transfer.PvP01_00_6.final:140,886..142,095(-)","Transfer.PvP01_00_6.final:140886..142095(-)","Transfer.PvP01_00_6.final","1","4","315","948","36129","7.5","IPR008780","Plasmodium vivax Vir","PF05795","Plasmodium vivax Vir","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"PVP01_0003040","PVP01_0003040.1","3","3","1","N/A","N/A","reverse","protein coding gene","No","891","No","N/A","N/A","PIR protein","PIR protein","Not Assigned","Transfer.PvP01_00_6.final:145,140..146,288(-)","Transfer.PvP01_00_6.final:145140..146288(-)","Transfer.PvP01_00_6.final","55","2","296","891","35250","8.17","IPR008780","Plasmodium vivax Vir","PF05795","Plasmodium vivax Vir","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"PVP01_0003050","PVP01_0003050.1","2","2","1","N/A","N/A","reverse","protein coding gene","No","795","No","N/A","N/A","PIR protein","PIR protein","Not Assigned","Transfer.PvP01_00_7.final:332..1,170(-)","Transfer.PvP01_00_7.final:332..1170(-)","Transfer.PvP01_00_7.final","1","0","264","795","31750","9.32","IPR008780","Plasmodium vivax Vir","PF05795","Plasmodium vivax Vir","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"PVP01_0003060","PVP01_0003060.1","4","4","1","N/A","N/A","forward","protein coding gene","No","1797","No","N/A","N/A","PIR protein","PIR protein","Not Assigned","Transfer.PvP01_00_7.final:5,250..7,492(+)","Transfer.PvP01_00_7.final:5250..7492(+)","Transfer.PvP01_00_7.final","6","0","598","1797","71047","7.1","IPR008780","Plasmodium vivax Vir","PF05795","Plasmodium vivax Vir","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
